text,font_name,size,weight,italic,p-touch_width,p-touch_height,skia_width,skia_height,skia_width_diff_pct,skia_height_diff_pct,core_text_width,core_text_height,core_text_width_diff_pct,core_text_height_diff_pct,pango_width,pango_height,pango_width_diff_pct,pango_height_diff_pct,harfbuzz_width,harfbuzz_height,harfbuzz_width_diff_pct,harfbuzz_height_diff_pct,freetype_width,freetype_height,freetype_width_diff_pct,freetype_height_diff_pct,pil_width,pil_height,pil_width_diff_pct,pil_height_diff_pct,approximation_width,approximation_height,approximation_width_diff_pct,approximation_height_diff_pct
abcdefghi,Helsinki,12.0,normal,No,51.7,15.5,59.505468750000006,14.399999999999999,15.097618471953583,-7.096774193548397,46.838671875,13.299999999999999,-9.40295575435203,-14.19354838709678,70.7,16.32,36.7504835589942,5.290322580645164,57.8053125,12.251660156249999,11.809115087040611,-20.957031250000007,61.60000000000001,18.025,19.148936170212778,16.290322580645153,63.800000000000004,7.699999999999999,23.404255319148938,-50.322580645161295,58.32,15.84,12.804642166344287,2.1935483870967736
abcdefghi,Arial,12.0,normal,No,51.6,13.4,52.04296875,14.399999999999999,0.8584665697674391,7.462686567164166,49.440820312499994,12.88,-4.184456758720944,-3.88059701492537,70.0,18.62,35.65891472868217,38.95522388059702,52.04296875,11.5541015625,0.8584665697674391,-13.7753614738806,59.400000000000006,15.31875,15.11627906976745,14.319029850746261,57.2,6.6,10.852713178294577,-50.74626865671642,51.84,12.959999999999999,0.46511627906977127,-3.2835820895522483
ab,Arial,12.0,normal,No,13.2,13.4,13.34765625,14.399999999999999,1.11860795454546,7.462686567164166,12.680273437499999,12.88,-3.937322443181824,-3.88059701492537,18.0,18.62,36.36363636363637,38.95522388059702,13.34765625,11.5541015625,1.11860795454546,-13.7753614738806,15.400000000000002,15.31875,16.66666666666669,14.319029850746261,15.400000000000002,5.3999999999999995,16.66666666666669,-59.70149253731343,11.52,12.959999999999999,-12.727272727272727,-3.2835820895522483
1,Arial,12.0,normal,No,4.0,13.4,6.673828125,14.399999999999999,66.845703125,7.462686567164166,5.706123046875,12.88,42.65307617187499,-3.88059701492537,8.549999999999999,18.62,113.74999999999997,38.95522388059702,6.0064453125,11.5541015625,50.16113281250001,-13.7753614738806,3.8500000000000005,15.31875,-3.7499999999999867,14.319029850746261,3.8500000000000005,5.3999999999999995,-3.7499999999999867,-59.70149253731343,2.88,12.959999999999999,-28.000000000000004,-3.2835820895522483
1,Comic Sans MS,10.0,normal,No,4.0,13.9,5.5615234375,12.0,39.0380859375,-13.66906474820144,3.930205078125,13.719999999999999,-1.7448730468749951,-1.2949640287769892,5.585999999999999,19.38,39.649999999999984,39.424460431654666,5.5615234375,12.0,39.0380859375,-13.66906474820144,5.5615234375,12.0,39.0380859375,-13.66906474820144,5.5615234375,12.0,39.0380859375,-13.66906474820144,2.8499999999999996,13.799999999999999,-28.750000000000007,-0.7194244604316649
ab,Comic Sans MS,10.0,normal,No,11.3,13.9,11.123046875,12.0,-1.565956858407086,-13.66906474820144,10.718310546875,13.719999999999999,-5.147694275442491,-1.2949640287769892,14.7,19.38,30.088495575221224,39.424460431654666,11.123046875,12.0,-1.565956858407086,-13.66906474820144,11.123046875,12.0,-1.565956858407086,-13.66906474820144,11.123046875,12.0,-1.565956858407086,-13.66906474820144,11.399999999999999,13.799999999999999,0.8849557522123704,-0.7194244604316649
abcdefghi,Comic Sans MS,10.0,normal,No,46.6,13.9,43.369140625,12.0,-6.933174624463523,-13.66906474820144,45.113525390625,13.719999999999999,-3.1898596767703893,-1.2949640287769892,61.74,19.38,32.48927038626609,39.424460431654666,43.369140625,12.0,-6.933174624463523,-13.66906474820144,43.369140625,12.0,-6.933174624463523,-13.66906474820144,43.369140625,12.0,-6.933174624463523,-13.66906474820144,51.3,13.799999999999999,10.085836909871235,-0.7194244604316649
abcdefghi,Helsinki Narrow,10.0,normal,No,35.6,12.9,37.3447265625,12.0,4.900917310393254,-6.976744186046514,30.2314453125,10.8,-15.080209796348317,-16.279069767441857,54.879999999999995,14.399999999999999,54.1573033707865,11.627906976744171,34.855078125,10.209716796875,-2.0924771769663,-20.85490855135659,38.0,17.478125,6.741573033707861,35.489341085271306,36.0,6.3,1.1235955056179736,-51.162790697674424,36.0,13.200000000000001,1.1235955056179736,2.3255813953488427
ab,Helsinki Narrow,10.0,normal,No,9.4,12.9,9.5771484375,12.0,1.884557845744677,-6.976744186046514,7.7529296875,10.8,-17.522024601063833,-16.279069767441857,13.719999999999999,14.399999999999999,45.957446808510625,11.627906976744171,8.938671875,10.209716796875,-4.907746010638294,-20.85490855135659,10.0,17.478125,6.382978723404251,35.489341085271306,10.0,4.8999999999999995,6.382978723404251,-62.01550387596899,8.0,13.200000000000001,-14.893617021276597,2.3255813953488427
1,Helsinki Narrow,10.0,normal,No,2.9,12.9,4.78857421875,12.0,65.12324892241381,-6.976744186046514,3.488818359375,10.8,20.30408135775863,-16.279069767441857,6.5169999999999995,14.399999999999999,124.72413793103448,11.627906976744171,4.02240234375,10.209716796875,38.70352909482758,-20.85490855135659,2.5,17.478125,-13.79310344827586,35.489341085271306,2.5,4.8999999999999995,-13.79310344827586,-62.01550387596899,2.0,13.200000000000001,-31.034482758620683,2.3255813953488427
1,Helsinki,10.0,normal,No,3.4,12.9,5.839599609375,12.0,71.7529296875,-6.976744186046514,4.504833984375001,11.399999999999999,32.49511718750002,-11.6279069767442,6.716499999999999,14.399999999999999,97.5441176470588,11.627906976744171,5.105478515625,10.209716796875,50.16113281250001,-20.85490855135659,3.3000000000000003,18.025,-2.941176470588225,39.728682170542626,3.3000000000000003,4.8999999999999995,-2.941176470588225,-62.01550387596899,2.7,13.200000000000001,-20.58823529411764,2.3255813953488427
